,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
0,"3 BHK Flat for Rent in Jade Heights Tower I, Kakkanad, Kochi",30000.0,Furnished,3.0,Family,,Flat,3,Kakkanad,4.0,32.0
1,"3 BHK Flat for Rent in Veegaland Kings Fort, Eroor, Kochi",39500.0,Furnished,3.0,Family,1200.0,Flat,3,Eroor,4.0,18.0
2,"3 BHK Flat for Rent in GRTL Gardenia, Edappally, Kochi",20000.0,Unfurnished,3.0,Bachelors/Family,1570.0,Flat,3,Edappally,1.0,1.0
3,"3 BHK Flat for Rent in Bhagheeratha VC Valley, Kakkanad, Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,1670.0,Flat,3,Kakkanad,6.0,11.0
4,"3 BHK Flat for Rent in Skyline Florento, Kaloor, Kochi",20000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,3,Kaloor,5.0,9.0
5,"3 BHK Flat for Rent in Choice Paradise, Thrippunithura, Kochi",50000.0,Furnished,3.0,Bachelors,,Flat,3,Thrippunithura,13.0,40.0
6,"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",75000.0,Furnished,4.0,Family,1675.0,Flat,3,Marine Drive,12.0,25.0
7,4 BHK Villa for Rent in Vazhakkala Kochi,42000.0,Furnished,5.0,Bachelors/Family,1650.0,Villa,4,Vazhakkala,,
8,"3 BHK Flat for Rent in Elamakkara, Kochi",18000.0,Unfurnished,3.0,Bachelors,,Flat,3,,2.0,4.0
9,"2 BHK Flat for Rent in Kalyan Credenz, Edappally, Kochi",32000.0,Unfurnished,2.0,Family,1220.0,Flat,2,Edappally,1.0,4.0
10,2 BHK Villa for Rent in Angamaly Kochi,45000.0,Furnished,3.0,Bachelors/Family,1000.0,Villa,2,Angamaly,,
11,3 BHK House for Rent in Puthussery Bhavan Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,,House,3,Bhavan,0.0,2.0
12,2 BHK House for Rent in Vyttila Kochi,50000.0,Furnished,2.0,Bachelors/Family,,House,2,Vyttila,1.0,3.0
13,"3 BHK Flat for Rent in Cheloor Pushpak, Ravipuram, Kochi",40000.0,Furnished,3.0,Bachelors,1836.0,Flat,3,Ravipuram,11.0,16.0
14,3 BHK Villa for Rent in Palarivattom Kochi,50000.0,Semi-Furnished,3.0,Bachelors/Family,,Villa,3,Palarivattom,,
15,3 BHK House for Rent in Elamakkara Kochi,25000.0,Semi-Furnished,3.0,Bachelors/Family,,House,3,Elamakkara,,
16,"3 BHK Flat for Rent in SFS Sunnyvale, Chittethukara, Kochi",36000.0,Semi-Furnished,3.0,Family,1600.0,Flat,3,Chittethukara,1.0,1.0
17,2 BHK Villa for Rent in Kakkanad Kochi,25000.0,Furnished,2.0,Family,1300.0,Villa,2,Kakkanad,,
18,2 BHK Flat for Rent in Kochi,40000.0,Unfurnished,2.0,Bachelors,950.0,Flat,2,in,6.0,14.0
19,3 BHK House for Rent in Thrippunithura Kochi,23000.0,Unfurnished,3.0,Bachelors,,House,3,Thrippunithura,1.0,2.0
20,"2 BHK Flat for Rent in Jewel Oak Field, Kaloor, Kochi",24000.0,Furnished,2.0,Bachelors/Family,,Flat,2,Kaloor,1.0,1.0
21,2 BHK Flat for Rent in Kochi,35000.0,Unfurnished,2.0,Bachelors/Family,1150.0,Flat,2,in,1.0,5.0
22,4 BHK House for Rent in Vyttila Kochi,100000.0,Furnished,5.0,Bachelors,3600.0,House,4,Vyttila,,
23,"2 BHK Flat for Rent in Kacherippady, Kochi",35000.0,Semi-Furnished,3.0,Bachelors/Family,900.0,Flat,2,,3.0,4.0
24,"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi",35000.0,Semi-Furnished,3.0,Family,,Flat,3,Kakkanad,,
25,4 BHK Villa for Rent in Kakkanad Kochi,33000.0,Furnished,4.0,Family,,Villa,4,Kakkanad,,
